SISTEMA / TIPO,TAG,FABRICANTE,AC,INVERTER,MODELO,POTENCIA NOMINAL (BTU) ,POTENCIA NOMINAL (W),Potencia elétrica consumida em 1 hora por mes (W),VOLTAGEM (V),POTÊNCIA ELÉTRICA CONSUMIDA,LOCALIZAÇÃO,TIPO_FLUIDO,CENTRO DE CUSTO,UNIDADE,TIPO_CENTRO_DE_CUSTO,CONSUMO_CENARIO_1,CONSUMO_MANHÃ,CONSUMO_TARDE,VALOR_TOTAL
split,SPLT-922,Elgin,1,0,PEFI80B2NC,80000,23432.0000,135000.0000,220,,"Térreo, setor laranja - Almoxarifado", R410A,LARANJA - FUNCIONÁRIOS,NGA,ADM,74.9824,14.0592,82.012,96.0712
split,SPLT-923,Elgin,1,0,PHFE 80000-3,80000,23432.0000,135000.0000,220,,"Térreo, Setor Amarelo - Arquivo de Prontuário", R22,AMARELO - FUNCIONÁRIOS,NGA,ADM,74.9824,14.0592,82.012,96.0712
split,SPLT-924,Elgin,1,0,PHFE 80000 Btu/h 220v,80000,23432.0000,135000.0000,220,,"Térreo, Setor Verde - Farmácia Oncologia", R22,VERDE - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-1053,Elgin,1,0,PHFE 80000-3,80000,23432.0000,135000.0000,220,,"Térreo, Setor Amarelo - Marcação de Consultas", R22,AMARELO - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-1054,Elgin,1,0,PHFE 80000-3,80000,23432.0000,135000.0000,220,,"Térreo, Setor Amarelo - Triagem da Farmárcia P", R22,AMARELO - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4379,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,1º PAVIMENTO - Recepção, R410A,LILÁS - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4381,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,1º PAVIMENTO - Recepção, R410A,AZUL - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4382,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,1º PAVIMENTO - Recepção, R410A,LARANJA - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4383,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,1º PAVIMENTO - Recepção, R410A,VERDE - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
split,SPLT-4384,Elgin,1,0,OUFE 80B3NA,80000,23432.0000,135000.0000,220,,1º PAVIMENTO - Recepção, R410A,AMARELO - PACIENTES,NGA,ASSISTENCIAL,152.308,29.29,98.4144,127.7044
